Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0603_1608Metric",88.882532,-62.523148,0.000000,bottom
"U4","IS61LV256AL-10TLI","TSOP-I-28_11.8x8mm_P0.55mm_SRAM",86.111000,-54.249400,90.000000,bottom
"C1","100n","C_0603_1608Metric",86.233366,-65.115600,-90.000000,top
"C2","100n","C_0603_1608Metric",91.089732,-63.266348,-90.000000,top
"C3","100n","C_0603_1608Metric",89.379600,-48.915400,0.000000,top
"C5","1u","C_0603_1608Metric",86.314200,-47.391400,0.000000,top
"C6","1u","C_0603_1608Metric",89.379600,-47.391400,0.000000,top
"C7","100n","C_0603_1608Metric",84.612400,-40.939800,90.000000,top
"C8","100n","C_0603_1608Metric",86.719600,-44.800600,-90.000000,top
"C9","10u","C_0603_1608Metric",87.912400,-40.939800,90.000000,top
"C10","10u","C_0603_1608Metric",86.314200,-48.915400,0.000000,top
"C11","100n","C_0603_1608Metric",80.640853,-65.115600,-90.000000,top
"R1","47R","R_0603_1608Metric",80.057800,-45.105400,90.000000,top
"R2","10K","R_0603_1608Metric",86.262400,-40.939800,-90.000000,top
"RN1","10K","R_Array_Convex_4x0603",90.355732,-41.263348,180.000000,top
"RN2","10K","R_Array_Convex_4x0603",83.445766,-65.115600,-90.000000,top
"U1","XC9572XL-xxVQx64","TQFP-64_10x10mm_P0.5mm",85.603000,-56.383000,-90.000000,top
"U2","XC6206P332MR","SOT-23-3",89.862200,-44.876800,180.000000,top
"U3","74LV6T17","DHWQFN-14-1EP_2.5x3mm_P0.5mm_EP1x1.5mm_ThermalVias",83.164600,-44.749800,-90.000000,top
"X1","48MHz","Oscillator_SMD_Yajingxin_TFOM48M4RHKCNT2T-4Pin_3.2x2.5mm",81.592732,-41.009348,180.000000,top
